Cumparare,Vanzare,Curs BNM,Valuta,Date
19.56,19.89,19.7508,USD,2025-11-01
16.86,17.19,17.0295,EUR,2025-11-01
21.70,22.50,22.4413,RUB,2025-11-01
3.78,3.90,3.8834,RON,2025-11-01
-,-,0.4058,UAH,2025-11-01
20.60,21.40,21.2694,GBP,2025-11-01
-,-,0.2109,CHF,2025-11-01
19.56,19.89,19.7508,USD,2025-11-02
16.86,17.19,17.0295,EUR,2025-11-02
21.70,22.50,22.4413,RUB,2025-11-02
3.78,3.90,3.8834,RON,2025-11-02
-,-,0.4058,UAH,2025-11-02
20.60,21.40,21.2694,GBP,2025-11-02
-,-,0.2109,CHF,2025-11-02
19.56,19.89,19.7508,USD,2025-11-03
16.86,17.19,17.0295,EUR,2025-11-03
21.70,22.50,22.4413,RUB,2025-11-03
3.78,3.90,3.8834,RON,2025-11-03
-,-,0.4058,UAH,2025-11-03
20.60,21.40,21.2694,GBP,2025-11-03
-,-,0.2109,CHF,2025-11-03
19.56,19.89,19.7508,USD,2025-11-04
16.86,17.19,17.0295,EUR,2025-11-04
21.70,22.50,22.4413,RUB,2025-11-04
3.78,3.90,3.8834,RON,2025-11-04
-,-,0.4058,UAH,2025-11-04
20.60,21.40,21.2694,GBP,2025-11-04
-,-,0.2109,CHF,2025-11-04
19.56,19.89,19.7508,USD,2025-11-05
16.86,17.19,17.0295,EUR,2025-11-05
21.70,22.50,22.4413,RUB,2025-11-05
3.78,3.90,3.8834,RON,2025-11-05
-,-,0.4058,UAH,2025-11-05
20.60,21.40,21.2694,GBP,2025-11-05
-,-,0.2109,CHF,2025-11-05
19.56,19.89,19.7508,USD,2025-11-06
16.86,17.19,17.0295,EUR,2025-11-06
21.70,22.50,22.4413,RUB,2025-11-06
3.78,3.90,3.8834,RON,2025-11-06
-,-,0.4058,UAH,2025-11-06
20.60,21.40,21.2694,GBP,2025-11-06
-,-,0.2109,CHF,2025-11-06
19.56,19.89,19.7508,USD,2025-11-07
16.86,17.19,17.0295,EUR,2025-11-07
21.70,22.50,22.4413,RUB,2025-11-07
3.78,3.90,3.8834,RON,2025-11-07
-,-,0.4058,UAH,2025-11-07
20.60,21.40,21.2694,GBP,2025-11-07
-,-,0.2109,CHF,2025-11-07
19.56,19.89,19.7508,USD,2025-11-08
16.86,17.19,17.0295,EUR,2025-11-08
21.70,22.50,22.4413,RUB,2025-11-08
3.78,3.90,3.8834,RON,2025-11-08
-,-,0.4058,UAH,2025-11-08
20.60,21.40,21.2694,GBP,2025-11-08
-,-,0.2109,CHF,2025-11-08
19.56,19.89,19.7508,USD,2025-11-09
16.86,17.19,17.0295,EUR,2025-11-09
21.70,22.50,22.4413,RUB,2025-11-09
3.78,3.90,3.8834,RON,2025-11-09
-,-,0.4058,UAH,2025-11-09
20.60,21.40,21.2694,GBP,2025-11-09
-,-,0.2109,CHF,2025-11-09
19.56,19.89,19.7508,USD,2025-11-10
16.86,17.19,17.0295,EUR,2025-11-10
21.70,22.50,22.4413,RUB,2025-11-10
3.78,3.90,3.8834,RON,2025-11-10
-,-,0.4058,UAH,2025-11-10
20.60,21.40,21.2694,GBP,2025-11-10
-,-,0.2109,CHF,2025-11-10
19.56,19.89,19.7508,USD,2025-11-11
16.86,17.19,17.0295,EUR,2025-11-11
21.70,22.50,22.4413,RUB,2025-11-11
3.78,3.90,3.8834,RON,2025-11-11
-,-,0.4058,UAH,2025-11-11
20.60,21.40,21.2694,GBP,2025-11-11
-,-,0.2109,CHF,2025-11-11
19.56,19.89,19.7508,USD,2025-11-12
16.86,17.19,17.0295,EUR,2025-11-12
21.70,22.50,22.4413,RUB,2025-11-12
3.78,3.90,3.8834,RON,2025-11-12
-,-,0.4058,UAH,2025-11-12
20.60,21.40,21.2694,GBP,2025-11-12
-,-,0.2109,CHF,2025-11-12
19.56,19.89,19.7508,USD,2025-11-13
16.86,17.19,17.0295,EUR,2025-11-13
21.70,22.50,22.4413,RUB,2025-11-13
3.78,3.90,3.8834,RON,2025-11-13
-,-,0.4058,UAH,2025-11-13
20.60,21.40,21.2694,GBP,2025-11-13
-,-,0.2109,CHF,2025-11-13
19.56,19.89,19.7508,USD,2025-11-14
16.86,17.19,17.0295,EUR,2025-11-14
21.70,22.50,22.4413,RUB,2025-11-14
3.78,3.90,3.8834,RON,2025-11-14
-,-,0.4058,UAH,2025-11-14
20.60,21.40,21.2694,GBP,2025-11-14
-,-,0.2109,CHF,2025-11-14
19.56,19.89,19.7508,USD,2025-11-15
16.86,17.19,17.0295,EUR,2025-11-15
21.70,22.50,22.4413,RUB,2025-11-15
3.78,3.90,3.8834,RON,2025-11-15
-,-,0.4058,UAH,2025-11-15
20.60,21.40,21.2694,GBP,2025-11-15
-,-,0.2109,CHF,2025-11-15
19.56,19.89,19.7508,USD,2025-11-16
16.86,17.19,17.0295,EUR,2025-11-16
21.70,22.50,22.4413,RUB,2025-11-16
