"","age","Medu","Fedu","traveltime","studytime","failures","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"age",1,-0.107831821683288,-0.121050497033538,0.0344900195711264,-0.00841511473032045,0.319967947770049,-0.0205594550403419,-0.00491025918882435,0.112804620786766,0.134768268386403,0.086357345141657,-0.00875011713000781,0.149998190039884,-0.174322239527609,-0.107119078816079,-0.106505390638479
"Medu",-0.107831821683288,1,0.647476609136496,-0.265079002806556,0.0970058329048808,-0.172210287277619,0.0244205731211116,-0.0196862982428077,0.00953649387524316,-0.00701831905180886,-0.0197657857747595,0.00461405599903114,-0.00857749477554593,0.260472289565233,0.264035299695411,0.240150756573595
"Fedu",-0.121050497033538,0.647476609136496,1,-0.208287978489772,0.0503996476644489,-0.165915005355476,0.0202558848092538,0.00684063104053308,0.0276897428554978,6.07748993822567e-05,0.0384447002652421,0.0449097884153123,0.0298586639755613,0.217500650647524,0.225138929652171,0.211799679114452
"traveltime",0.0344900195711264,-0.265079002806556,-0.208287978489772,1,-0.0631539042461472,0.0977297501284626,-0.00952118451966469,0.000936734127230363,0.0574541956694299,0.0928242835569201,0.0570071779978886,-0.0482612064252785,-0.00814908735486234,-0.154119621112816,-0.154488870588638,-0.127172966758421
"studytime",-0.00841511473032045,0.0970058329048808,0.0503996476644489,-0.0631539042461472,1,-0.147440545151582,-0.00412712921411211,-0.0688292221808386,-0.0754422108545683,-0.137584739442468,-0.214925104526824,-0.0564326935111256,-0.118389370110245,0.260875380313188,0.24049799907999,0.249788689998861
"failures",0.319967947770049,-0.172210287277619,-0.165915005355476,0.0977297501284626,-0.147440545151582,1,-0.0626451626841871,0.108994621792423,0.0450777759530784,0.105949092207882,0.0822662646923067,0.0355882127836678,0.12277883526082,-0.384210476004416,-0.385782215231881,-0.39331554804199
"famrel",-0.0205594550403419,0.0244205731211116,0.0202558848092538,-0.00952118451966469,-0.00412712921411211,-0.0626451626841871,1,0.129215676558851,0.0897065691292655,-0.0757672250238077,-0.093510806000099,0.109559216664184,-0.0895336543297248,0.04879460349123,0.0895877829975925,0.0633611277298302
"freetime",-0.00491025918882435,-0.0196862982428077,0.00684063104053308,0.000936734127230363,-0.0688292221808386,0.108994621792423,0.129215676558851,1,0.346351788046939,0.10990355938003,0.120243880698856,0.0845264260191896,-0.0187160282423811,-0.0944966058818006,-0.106677926512556,-0.122704925833698
"goout",0.112804620786766,0.00953649387524316,0.0276897428554978,0.0574541956694299,-0.0754422108545683,0.0450777759530784,0.0897065691292655,0.346351788046939,1,0.245125988555437,0.388679761206495,-0.0157411310422707,0.0853738266695293,-0.0740526331218487,-0.0794691939728881,-0.0876407227242426
"Dalc",0.134768268386403,-0.00701831905180886,6.07748993822567e-05,0.0928242835569201,-0.137584739442468,0.105949092207882,-0.0757672250238077,0.10990355938003,0.245125988555437,1,0.616561382064334,0.0590674576756239,0.172952491045247,-0.195170934192891,-0.189479935157736,-0.204719397248156
"Walc",0.086357345141657,-0.0197657857747595,0.0384447002652421,0.0570071779978886,-0.214925104526824,0.0822662646923067,-0.093510806000099,0.120243880698856,0.388679761206495,0.616561382064334,1,0.114987971667077,0.156372969521755,-0.155649486378662,-0.164852186767208,-0.176618874209664
"health",-0.00875011713000781,0.00461405599903114,0.0449097884153123,-0.0482612064252785,-0.0564326935111256,0.0355882127836678,0.109559216664184,0.0845264260191896,-0.0157411310422707,0.0590674576756239,0.114987971667077,1,-0.030234864488401,-0.0516474150728461,-0.082179083625589,-0.098851241394318
"absences",0.149998190039884,-0.00857749477554593,0.0298586639755613,-0.00814908735486234,-0.118389370110245,0.12277883526082,-0.0895336543297248,-0.0187160282423811,0.0853738266695293,0.172952491045247,0.156372969521755,-0.030234864488401,1,-0.147149241763985,-0.124744933471428,-0.091379056438757
"G1",-0.174322239527609,0.260472289565233,0.217500650647524,-0.154119621112816,0.260875380313188,-0.384210476004416,0.04879460349123,-0.0944966058818006,-0.0740526331218487,-0.195170934192891,-0.155649486378662,-0.0516474150728461,-0.147149241763985,1,0.864981630308582,0.826387124789049
"G2",-0.107119078816079,0.264035299695411,0.225138929652171,-0.154488870588638,0.24049799907999,-0.385782215231881,0.0895877829975925,-0.106677926512556,-0.0794691939728881,-0.189479935157736,-0.164852186767208,-0.082179083625589,-0.124744933471428,0.864981630308582,1,0.918548003560351
"G3",-0.106505390638479,0.240150756573595,0.211799679114452,-0.127172966758421,0.249788689998861,-0.39331554804199,0.0633611277298302,-0.122704925833698,-0.0876407227242426,-0.204719397248156,-0.176618874209664,-0.098851241394318,-0.091379056438757,0.826387124789049,0.918548003560351,1
